Book_Author,Book_title,Rating,Customers_rated,Price
BENYAMIN,AATUJEEVITHAM,4.7 out of 5 stars,"3,019",₹197.00
AKHIL P DHARMAJAN,RAM C/O ANANDHI,4.4 out of 5 stars,365,₹375.00
Dr. Shiv K Sarin,Own Your Body: A Doctor's Life-saving Tips,4.6 out of 5 stars,124,₹374.00
R.D. Sharma,Mathematics class 10th and MCQs - by R.D. Sharma (2024-25 Examination),4.4 out of 5 stars,34,₹500.00
James Clear,Atomic Habits: The life-changing million copy bestseller [Paperback] James Clear,4.6 out of 5 stars,"91,801",₹509.00
Daniel Kahneman,"Thinking, Fast & Slow (L)",4.5 out of 5 stars,"29,599",₹478.00
PW,"PW NTA NEET Rankers Test Series - 2024 Based on the New Syllabus by NMC | 10 Full Syllabus + 4 Part Syllabus (Class 11th & 12th) | OMR Sheet, Detailed Solutions, Rank Predictor, State-wise College Cut-off",4.3 out of 5 stars,220,₹509.00
Morgan Housel,The Psychology of Money,4.6 out of 5 stars,"61,186",₹275.00
Francesc Miralles,Ikigai,4.6 out of 5 stars,"53,600",₹319.00
Chitra Banerjee Divakaruni,"The Palace of Illusions: 10th Anniversary Edition [Paperback] Banerjee Divakaruni, Chitra",4.5 out of 5 stars,"9,665",₹329.00
Joseph Murphy,The Power of Your Subconscious Mind: Original Edition | Premium Paperback,4.5 out of 5 stars,"67,583",₹149.00
Nimna Vijay,Ettavum priyappetta ennod - novel by Nimna Vijay - ഏറ്റവും പ്രിയപ്പെട്ട എന്നോട്,4.4 out of 5 stars,83,₹280.00
Wonder House Books,My First Library: Boxset of 10 Board Books for Kids [Board book] Wonder House Books,4.5 out of 5 stars,"76,565",₹419.00
Joseph Nguyen,Don't Believe Everything You Think (English),4.5 out of 5 stars,"5,081",₹172.00
Oswaal Editorial Board,Oswaal NTA CUET (UG)| Question Bank Chapterwise & Topicwise English For 2024 Exam,4.0 out of 5 stars,40,₹223.00
M Laxmikanth,Indian Polity for UPSC (English)|7th Edition|Civil Services Exam| State Administrative Exams,4.6 out of 5 stars,"1,470",₹685.00
Wonder House Books,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India [Hardcover] Wonder House Books,4.5 out of 5 stars,"5,267",₹199.00
Chetan Bhagat,11 Rules For Life: Secrets to Level Up,4.7 out of 5 stars,310,₹188.00
Norman Lewis,Word Power Made Easy By Norman Lewis (More than 700 Pages),4.4 out of 5 stars,"2,560",₹149.00
Alex Michaelides,"THE SILENT PATIENT [Paperback] Michaelides, Alex",4.5 out of 5 stars,"298,912",₹269.00
"Deepali Pradeep Shrivastava , Sushil Singh , Sanjeev Dixit , Rajeev Pandey",Arihant NTA CUET UG Exam Guide For Section 3 General Test With Practice Sets and Solved Paper For 2024 Exams,4.6 out of 5 stars,49,₹199.00
Robert Greene,"THE 48 LAWS OF POWER [Paperback] Greene, Robert",4.6 out of 5 stars,"19,721",₹645.00
Wonder House Books,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) [Paperback] Wonder House Books,4.4 out of 5 stars,"27,350",₹119.00
Wonder House Books,"201 Brain Booster Activity Book - Fun Activities and Exercises For Children: Tracing & Pattern, Colors & Shapes, Maze [Paperback] Wonder House Books",4.4 out of 5 stars,790,₹119.00
Binay Karna,Lucent General Knowledge - New Reduced Price Ediiton - 13th - Edition for 2024 Exams and Increased Number of Pages (458 Pages) - [Original Copy Only - ENGLISH MEDIUM],4.5 out of 5 stars,112,₹209.00
Vikram Sampath,Waiting for Shiva: Unearthing the Truth of Kashi’s Gyan Vapi,4.8 out of 5 stars,41,₹454.00
His Divine Grace A.C. Bhaktivedanta Swami Prabhupada,Bhagvad Gita As It Is English New Edition,4.7 out of 5 stars,"11,095",₹317.00
Sank Magic,"MINtile Sank Magic Practice Copybook, (4 Book + 10 Refill) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",4.0 out of 5 stars,"1,574",₹110.00
Wonder House Books,Coloring Books Box Set: Pack of 12 Copy Color Books For Children [Paperback] Wonder House Books,4.5 out of 5 stars,"4,512",₹369.00
Dale Carnegie,How to Win Friends and Influence People : Original Edition | Premium Paperback,4.5 out of 5 stars,"88,747",₹135.00
MTG Editorial Board,"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & Biology For NEET Exam 2024 As Per NMC NEET Rationalised Syllabus | Get Free access of Smart Book",4.4 out of 5 stars,625,₹958.00
KVS Madaan,"NTA UGC NET '24 Paper 1 by KVS Madaan| Teaching and Research Aptitude NET/SET/JRF |Includes 2023 Paper (2 Sets) & 23 years chapter wise solved Previous Year Questions | Includes 2600+ Questions, 8th Edition ( English Edition)",4.5 out of 5 stars,7,₹379.00
Seep Pahuja,Educart Abhyaas NEET UG Mock Test Papers 2024 Final Booklets - New Full Syllabus & Unitwise (Includes Supplement Revision Book on New Syllabus Additional Topics and OMR Sheets),4.4 out of 5 stars,280,₹955.00
Sunil Gurjar,Breakout Trading Made Easy: Maximize Your Profits with Simple Price Action Strategies,4.8 out of 5 stars,"1,522",₹299.00
"Veena Aggarwal, R S; Aggarwal",Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination,4.4 out of 5 stars,"2,097",₹650.00
Farah Sultan Aditya Raj,All In One Class 10th Social Science for CBSE Exam 2024,4.3 out of 5 stars,799,₹495.00
Darius Foroux,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",4.4 out of 5 stars,"8,900",₹149.00
Leil Lowndes,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,4.4 out of 5 stars,"12,823",₹280.00
Team Pegasus,1001 Jumbo Brain Booster Activities for 5 to 8 Years Old Kids|Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,4.6 out of 5 stars,611,₹302.00
Wonder House Books,101 Copy Coloring: Fun Activity Book For Children [Paperback] Wonder House Books,4.5 out of 5 stars,"2,018",₹149.00
Oswaal Editorial Board,Oswaal NTA CUET (UG) Chapterwise Question Bank Business Studies ((For 2024 Exam),4.6 out of 5 stars,39,₹223.00
Oswaal Editorial Board,Oswaal NTA CUET (UG) Chapterwise Question Bank Accountancy (For 2024 Exam),4.3 out of 5 stars,35,₹179.00
Mitch Albom,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",4.6 out of 5 stars,"25,540",₹196.00
MTG Editorial Board,"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationalised Syllabus, NEET Books (Latest & Revised Edition 2024-2025",4.4 out of 5 stars,117,₹599.00
Oswaal Editorial Board,"Oswaal CBSE Question Bank Class 10 Science, Chapterwise and Topicwise Solved Papers For Board Exams 2025",4.6 out of 5 stars,91,₹626.00
Gareth Moore,"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",4.3 out of 5 stars,"10,631",₹148.00
Team Pegasus,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,4.6 out of 5 stars,"1,021",₹302.00
RAJ ENTERPRISES,Interact in English Literature + Main Course Book (MCB) + Workbook | A textbook for English course (Communicative) - Combo Set of 3 Books For Class 10,4.4 out of 5 stars,21,₹788.00
Wonder House Books,1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Morale of Kids [Paperback] Wonder House Books,4.5 out of 5 stars,"1,985",₹169.00
Joseph Murphy,The Power of Your Subconscious Mind,4.5 out of 5 stars,"14,001",₹149.00
Manjit Kaur Lakhmir SIngh,"Combo Pack: Lakhmir Singh Class 10 Science (Physics, Chemistry, Biology) - 2024-25 Examination",3.4 out of 5 stars,12,"₹1,638.00"
NEETU SINGH,NEETU SINGH ENGLISH FOR GENERAL COMPETITIONS VOL - 1 IN ENGLISH NEW 2023 EDITION,4.2 out of 5 stars,291,₹350.00
ARUN SHARMA,Quantitative Aptitude for CAT |10th Edition|Quant| CAT 2024 Exam,4.5 out of 5 stars,"1,158",₹685.00
BENYAMIN,Aadujeevitham ആടു ജീവിതം,4.6 out of 5 stars,50,₹180.00
Rithvik Singh,I Don't Love You Anymore: Moving On & Living Your Best Life,4.2 out of 5 stars,252,₹254.00
Maple Press,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old [Paperback] Maple Press",4.3 out of 5 stars,"3,800",₹204.00
Wonder House Books,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10) [Paperback] Wonder House Books",4.3 out of 5 stars,"12,323",₹199.00
"Sanubia & Rashmi Gupta Sonal Singh & Ruchi Kapoor , Imran Ahmad",All In One Class 10th Science for CBSE Exam 2024,4.3 out of 5 stars,675,₹452.00
